x,x,x,x,x,0,7,55,52,0,0,47,0,46,x,x,x,x
x,x,x,x,x,0,0,0,0,0,0,0,0,0,x,x,x,x
2,0,3,0,6,0,8,54,53,51,0,48,0,45,x,x,x,x
1,0,4,0,5,0,9,0,0,0,0,0,0,0,x,x,x,x
0,0,0,0,0,0,0,0,0,50,0,49,0,44,0,43,x,x
14,13,0,12,11,10,0,0,0,x,x,x,x,x,0,42,x,x
0,0,0,0,0,0,0,0,51,x,x,x,x,x,0,0,0,x
15,16,0,17,18,19,0,0,0,x,x,x,x,x,0,41,0,x
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x
23,0,22,0,21,20,27,0,0,0,0,0,0,0,0,0,0,x
0,0,0,0,0,0,0,32,0,33,0,36,0,37,0,40,0,x
0,0,0,0,26,0,28,0,0,0,0,0,0,0,0,0,0,x
0,0,0,0,0,0,0,31,0,34,0,35,0,38,0,39,0,x
0,0,24,0,25,29,30,0,0,0,0,0,0,0,0,0,0,x
