x,x,0,130,131,0,x,x,0,0,118,x,108,0,0,x,x,x,0,82,81,0
x,x,0,0,0,0,x,x,0,119,117,x,107,106,0,x,x,x,0,0,0,0
x,x,0,129,132,133,x,x,120,0,116,x,109,0,105,x,x,x,84,83,80,79
x,x,127,136,135,134,x,x,121,122,115,x,110,111,104,x,x,x,85,86,87,78
x,x,126,125,124,123,x,x,112,113,114,x,101,102,103,x,x,x,74,75,76,77
x,x,137,48,0,0,51,0,0,54,0,0,57,0,0,0,61,0,0,64,88,0
x,x,0,0,47,49,50,0,52,53,55,0,56,58,59,60,0,62,63,0,0,x
142,143,145,147,46,159,0,x,x,x,97,96,95,91,90,89,73,72,66,65,0,x
0,0,144,0,0,0,0,x,x,x,0,0,0,0,0,0,x,x,0,0,0,x
141,140,34,146,45,0,0,x,x,x,98,99,100,92,93,94,71,70,67,68,69,x
139,138,35,36,0,37,38,39,40,41,42,x,x,x,x,x,x,x,x,x,x,x
x,29,30,31,32,33,x,x,x,44,43,x,x,x,x,x,x,x,x,x,x,x
x,0,0,0,0,0,x,x,x,0,0,x,x,x,x,x,x,x,x,x,x,x
x,28,27,26,25,7,6,5,4,3,1,x,x,x,x,x,x,x,x,x,x,x
x,x,151,148,8,x,x,x,x,2,x,x,x,x,x,x,x,x,x,x,x,x
x,x,150,149,9,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,10,x,x,x,x,157,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,0,0,0,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,0,0,0,0,0,0,156,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,0,0,0,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,152,0,0,0,155,0,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,0,0,0,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,0,153,154,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x
